clade	thisWork_date	thisWork_lowerCI	thisWork_upperCI	sun2016_date	sun2016_lowerCI	sun2016_upperCI	uozomi2021_date	uozomi2021_lowerCI	uozomi2021_upperCI	bernot2023_date	bernot2023_lowerCI	bernot2023_upperCI
Branchiopoda_(1)	435.0	345.7	524.1	495.0	478.0	512.0	534.5	NA	NA	450.0	401.4	503.9
Anostraca_(2)	171.0	119.4	241.3	310.0	218.0	402.0	142.1	NA	NA	NA	NA	NA
Phyllopoda	360.0	289.7	444.2	465.0	448.0	480.0	496.0	NA	NA	370.0	277.7	447.8
Notostraca_(3)	129.0	58.8	143.3	NA	NA	NA	51.7	NA	NA	NA	NA	NA
Diplostraca	310.0	250.0	384.4	450.0	430.0	460.0	419.1	NA	NA	NA	NA	NA
Onychocaudata	290.0	246.3	327.0	465.5	416	515	376.2	NA	NA	240.0	147.3	344.3
Spinicaudata	141.0	113.3	201.5	NA	NA	NA	170.6	NA	NA	NA	NA	NA
Cladoceromorpha	249.0	209.5	289.7	NA	NA	NA	305.9	NA	NA	NA	NA	NA
Cyclestherida	58.0	27.1	105.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cladocera_(4)	224.0	186.4	263.1	NA	NA	NA	261.5	NA	NA	NA	NA	NA
Anomopoda	176.0	145.0	211.9	NA	NA	NA	199.1	NA	NA	NA	NA	NA
Onycopoda	137.0	96.5	190.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
