ID mean 95%_lower 95%_upper mean_nolysp 95%_lower_nolysp 95%_upper_nolysp
49 4.958419 4.7397200 5.283110 4.915753 4.7342300 5.2608100
50 3.634058 0.7372790 5.088480 4.567392 3.6455400 5.1301300
51 4.065917 4.0506000 4.094840 4.066080 4.0506500 4.0952500
52 1.273788 1.2578200 1.303390 1.275059 1.2579200 1.3051000
53 0.266180 0.0658616 0.597975 0.184844 0.0858299 0.3549300
54 1.036728 0.7776790 1.176950 1.051796 0.8725740 1.1808600
55 0.707184 0.4018430 0.965316 0.741638 0.5253280 0.9449710
56 0.609130 0.3300110 0.880737 0.598639 0.3838030 0.8125340
57 3.222284 2.5225600 3.766370 3.392724 2.8398500 3.8193100
58 1.235135 1.2187200 1.265260 1.231912 1.2184600 1.2589100
59 0.855106 0.6227900 1.030390 0.462611 0.2202890 0.8091260
60 0.294715 0.1349320 0.507720 0.041970 0.0205872 0.0784247
61 0.060144 0.0201360 0.137451 0.004952 0.0022598 0.0097788
62 0.716031 0.5168540 0.904909 0.235298 0.1408880 0.3881800
63 0.315365 0.1485220 0.536336 0.072842 0.0337677 0.1358800
64 0.370249 0.2182670 0.559086 0.085199 0.0539564 0.1304800
65 0.310294 0.1757440 0.490623 0.071108 0.0431286 0.1125140
66 0.137259 0.0653136 0.255869 0.035191 0.0180125 0.0614742
67 2.740275 2.2343400 3.373840 NA NA NA
68 2.356036 2.0275600 2.899720 2.584634 2.1785600 3.1057600
69 1.383636 0.9207540 1.829300 1.386068 1.0746700 1.7546900
70 0.570989 0.2408270 1.037560 0.372032 0.2116170 0.6175330
71 0.481092 0.1960430 0.917230 0.300640 0.1540360 0.5291160
72 1.153612 0.7337260 1.568660 1.146795 0.8790650 1.4853200
73 0.983067 0.5978350 1.387150 0.946260 0.6624010 1.2575100
74 0.508190 0.2095990 0.900334 0.492320 0.2562670 0.7923260
75 0.827788 0.4516110 1.240500 0.818063 0.5784560 1.1141100
76 0.415037 0.1658840 0.774029 0.395342 0.2043830 0.6544740
77 0.393182 0.1555020 0.738493 0.373785 0.2246510 0.5835630
78 0.205961 0.0720999 0.442125 0.195067 0.0979167 0.3426750
79 1.957127 1.8313900 2.227480 2.055849 1.8548300 2.4035500
80 0.736459 0.1863090 1.287470 0.533182 0.2494610 0.9881920
81 1.745135 1.7315200 1.770820 1.746471 1.7316800 1.7732000
82 1.587500 1.4273500 1.672340 1.590439 1.4452100 1.6828900
83 1.241072 0.8296080 1.510310 1.154911 0.8501840 1.4131900
84 0.724313 0.2968550 1.177070 0.656305 0.3667020 0.9835720
85 1.432247 1.2232100 1.570100 1.418919 1.2279300 1.5593500
86 1.177838 0.8748260 1.408470 1.010616 0.6703360 1.2660900
87 0.257398 0.0847145 0.564084 0.144884 0.0686215 0.2734110
88 1.051238 0.8072190 1.259290 1.088682 0.8884710 1.2636200
89 0.979397 0.7392020 1.197040 0.959764 0.7680850 1.1464100
90 0.816419 0.5956350 1.040980 0.762589 0.5882210 0.9498930
91 0.725485 0.5146040 0.951929 0.610417 0.4330690 0.8019260
92 0.313430 0.1802150 0.500434 0.222973 0.1164990 0.3694900
93 0.569249 0.3497930 0.805346 0.490722 0.3294410 0.6802400
94 0.350995 0.1764890 0.575961 0.272830 0.1509850 0.4349550
95 0.059634 0.0214312 0.138137 0.039483 0.0183203 0.0755962
