"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"979968","occ","","","117153","Triopsidae indet.","family","200143","","Triopsidae","family","200143","Capitanian","","265.1","259.9","37636"
"1096109","occ","","","138379","Triops ornatus","species","237320","","Triops ornatus","species","237342","Stephanian","","306.95","298.9","41866"
"1484668","occ","","","206490","Triops cancriformis","species","399419","","Triops cancriformis","species","399418","Aegean","","247.2","242","70963"
"1484669","occ","","","203355","Triops cancriformis","species","399419","","Triops cancriformis","species","399418","Aegean","","247.2","242","70963"
"1484670","occ","","","206487","Triops cancriformis","species","399419","","Triops cancriformis","species","399418","Aegean","","247.2","242","70963"
"1495982","occ","","","131916","Notostraca indet.","order","133207","","Notostraca","order","133207","Late Famennian","","364.7","360.7","71792"
"1540242","occ","","","216608","Lynceites n. sp. cansoensis","species","237334","species not entered","Lynceites","genus","237334","Bashkirian","","323.2","315.2","43184"
"1605662","occ","","","227055","Lepidurus cf. arcticus","species","56632","species not entered","Lepidurus","genus","56632","Pleistocene","","2.588","0.0117","82477"
"1626977","occ","","","230303","n. gen. Chenops n. sp. yixianensis","species","473604","","Chenops yixianensis","species","473604","Late Barremian","","130","125.45","50619"
"1626978","occ","","","230304","n. gen. Jeholops n. sp. hongi","species","473605","","Jeholops hongi","species","473605","Late Barremian","","130","125.45","50619"
