clade	thisWork_date	thisWork_lowerCI	thisWork_upperCI	sun2016_date	sun2016_lowerCI	sun2016_upperCI	uozomi2021_date	uozomi2021_lowerCI	uozomi2021_upperCI	bernot2023_date	bernot2023_lowerCI	bernot2023_upperCI	vanDamme2022_date	vanDamme2022_lowerCI	vanDamme2022_upperCI	xu2021_date	xu2021_lowerCI	xu2021_upperCI
Branchiopoda_(1)	475.89	422.39	518.68	495.0	478.0	512.0	534.5	NA	NA	450.0	401.4	503.9	520.98	520.92	521.0	NA	NA	NA
Anostraca_(2)	219.22	157.64	309.38	310.0	218.0	402.0	142.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phyllopoda	425.60	368.05	477.31	465.0	448.0	480.0	496.0	NA	NA	370.0	277.7	447.8	465.83	462.52	469.06	NA	NA	NA
Notostraca_(3)	134.38	98.73	186.37	NA	NA	NA	51.7	NA	NA	NA	NA	NA	121.8	NA	NA	NA	NA	NA
Diplostraca	384.30	326.46	439.52	450.0	430.0	460.0	419.1	NA	NA	NA	NA	NA	454.87	451.59	458.23	NA	NA	NA
Onychocaudata	345.52	289.72	402.12	465.5	416	515	376.2	NA	NA	240.0	147.3	344.3	391.58	388.57	394.51	NA	NA	NA
Spinicaudata	188.43	137.72	252.53	NA	NA	NA	170.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cladoceromorpha	301.28	247.31	358.37	NA	NA	NA	305.9	NA	NA	NA	NA	NA	361.78	358.94	364.59	340.0	NA	NA
Cyclestherida	67.58	33.84	119.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cladocera_(4)	271.60	219.48	328.25	NA	NA	NA	261.5	NA	NA	NA	NA	NA	325.06	322.7	327.51	299.0	NA	NA
Anomopoda	244.43	195.88	297.86	NA	NA	NA	199.1	NA	NA	NA	NA	NA	263.7	262.78	265.71	250.0	NA	NA
Onycopoda	175.15	117.72	234.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	272.45	269.73	275.91	235.0	NA	NA
