"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"88876","occ","","","6546","Cyzicus ? shupei","species","57396","species not entered","Cyzicus","genus","57396","Cenomanian","","100.5","93.9","284"
"251289","occ","","","24458","Lioestheria lallyensis","species","222093","species not entered","Lioestheria","genus","179624","Permian","","298.9","252.17","6870"
"251305","occ","","","24459","Euestheria dawsoni","species","198361","species not entered","Euestheria","genus","198361","Permian","","298.9","252.17","6892"
"363271","occ","","","34416","Cyzicus laxitextus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","9062"
"363272","occ","","","34416","Cyzicus cf. dorsorectus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","9062"
"363273","occ","","","34416","Cyzicus minutus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","9062"
"400708","occ","","","38479","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Late Bathonian","","167.7","164.7","10298"
"405206","occ","","","38885","Cyzicus mawsoni","species","57396","species not entered","Cyzicus","genus","57396","Berriasian","Hauterivian","145","129.4","10504"
"405233","occ","","","38890","Estheriina astartoides","species","57424","species not entered","Estheriina","genus","57424","Turonian","","93.9","89.8","10504"
"409332","occ","","","39419","Cyzicus (Lioestheria) cf. tendagurensis","species","222091","species not entered","Lioestheria","genus","179624","Kimmeridgian","Tithonian","157.3","145","10656"
"418406","occ","","","40565","Euestheria sp.","genus","198361","","Euestheria","genus","198361","Bathonian","","168.3","166.1","10961"
"478131","occ","","","47406","Cyzicus (Euestheria) minutus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","12702"
"478132","occ","","","47407","Cyzicus (Euestheria) minutus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","12702"
"478133","occ","","","47407","Cyzicus (Euestheria) cf. fimbriatus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","12702"
"478135","occ","","","47408","Cyzicus (Euestheria) cf. fimbriatus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","12702"
"478136","occ","","","47409","Cyzicus (Euestheria) minutus","species","57396","species not entered","Cyzicus","genus","57396","Carnian","","237","228","12702"
"513407","occ","","","51938","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Late Oxfordian","Tithonian","161.2","145","13864"
"521672","occ","","","48422","Shipingia sp.","genus","368654","","Shipingia","genus","368654","Rhaetian","","208.5","201.3","32134"
"557216","occ","","","57698","Euestheria bourozi","species","198361","species not entered","Euestheria","genus","198361","Westphalian C","","314.6","311.45","15520"
"574399","occ","","","60392","Pseudestheria plicata","species","222092","species not entered","Pseudestheria","genus","222092","Givetian","","387.7","382.7","17373"
"591910","occ","","","22710","Cyzicus aff. codoensis","species","57396","species not entered","Cyzicus","genus","57396","Albian","","113","100.5","18072"
"632332","occ","26834","","27891","Euestheria luanpingensis","species","198361","species not entered","Euestheria","genus","198361","Early Callovian","","164.7","161.2","41125"
"783904","occ","","","55270","n. gen. Ethmosestheria n. sp. mahajangaensis","species","134380","","Ethmosestheria mahajangaensis","species","134380","Maastrichtian","","72.1","66","28296"
"790097","occ","","","85500","cf. Euestheria brodieana","species","198361","species not entered","Euestheria","genus","198361","Norian","Rhaetian","228","201.3","28888"
"830858","occ","","","12856","cf. Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Norian","","228","208.5","61318"
"832039","occ","","","89149","Palaeolimnadia ? sp.","genus","399423","","Palaeolimnadia","genus","399423","Carnian","Norian","237","208.5","83014"
"880684","occ","","","97695","Euestheria sp.","genus","198361","","Euestheria","genus","198361","Anisian","","247.2","242","15587"
"929901","occ","","","106378","Cyzicus ? (Lioestheria) sp.","subgenus","222091","reassigned as","Lioestheria","genus","179624","Albian","","113","100.5","35509"
"929902","occ","","","14390","Cyzicus ? (Lioestheria) sp.","subgenus","222091","reassigned as","Lioestheria","genus","179624","Albian","","113","100.5","35509"
"929903","occ","","","14391","Cyzicus ? (Lioestheria) sp.","subgenus","222091","reassigned as","Lioestheria","genus","179624","Albian","","113","100.5","35509"
"929904","occ","","","14375","Cyzicus ? (Lioestheria) sp.","subgenus","222091","reassigned as","Lioestheria","genus","179624","Late Aptian","Early Albian","122.46","109","35509"
"933494","occ","","","107286","Cyzicus sp.","genus","57396","","Cyzicus","genus","57396","Carnian","","237","228","35713"
"947560","occ","","","110469","Laxitextella cf. laxitexta","species","368644","","Laxitextella laxitexta","species","368643","Carnian","","237","228","36360"
"947561","occ","","","110469","Laxitextella sp.","genus","368642","","Laxitextella","genus","368642","Carnian","","237","228","36360"
"956683","occ","","","63512","Lioestheria sp.","genus","222093","","Lioestheria","genus","179624","Griesbachian","","252.17","251.3","33770"
"956684","occ","","","63512","Palaeolimnadia sp.","genus","399423","","Palaeolimnadia","genus","399423","Griesbachian","","252.17","251.3","33770"
"974798","occ","","","116119","Estheriina sp.","genus","57424","","Estheriina","genus","57424","Ladinian","","242","237","37426"
