# Concordance factor statistics
# This file can be read in MS Excel or in R with command:
#   tab=read.table('concord.cf.stat',header=TRUE)
# Columns are tab-separated with following meaning:
#   ID: Branch ID
#   gCF: Gene concordance factor (=gCF_N/gN %)
#   gCF_N: Number of trees concordant with the branch
#   gDF1: Gene discordance factor for NNI-1 branch (=gDF1_N/gN %)
#   gDF1_N: Number of trees concordant with NNI-1 branch
#   gDF2: Gene discordance factor for NNI-2 branch (=gDF2_N/gN %)
#   gDF2_N: Number of trees concordant with NNI-2 branch
#   gDFP: Gene discordance factor due to polyphyly (=gDFP_N/gN %)
#   gDFP_N: Number of trees decisive but discordant due to polyphyly
#   gN: Number of trees decisive for the branch
#   Label: Existing branch label
#   Length: Branch length
# *NOTE*: (gCF+gDF1+gDF2+gDFP) = 100% and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = gN
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	Label	Length
49	60.23	106	2.84	5	3.98	7	32.95	58	176	100	0.0816503
50	12.43	23	4.86	9	12.97	24	69.73	129	185	79	0.0181036
51	31.32	57	2.75	5	4.4	8	61.54	112	182	100	0.0361481
52	72.13	132	2.73	5	0.55	1	24.59	45	183	100	0.0772569
53	44.77	77	12.79	22	13.95	24	28.49	49	172	100	0.020448
54	95.71	156	0.61	1	1.84	3	1.84	3	163	100	0.0773426
55	88.3	151	7.02	12	4.68	8	0	0	171	100	0.0482363
56	97.73	172	1.14	2	0.57	1	0.57	1	176	100	0.0476666
57	35.8	63	8.52	15	32.39	57	23.3	41	176	100	0.0365993
58	9.49	13	19.71	27	7.3	10	63.5	87	137	97	0.0385619
59	47.85	89	3.76	7	1.08	2	47.31	88	186	100	0.0590997
60	43.01	80	5.91	11	4.84	9	46.24	86	186	100	0.0469409
61	43.55	81	9.14	17	10.22	19	37.1	69	186	100	0.0519279
62	53.23	99	3.23	6	3.23	6	40.32	75	186	100	0.0867188
63	83.7	154	0	0	0	0	16.3	30	184	100	0.189129
64	92.17	153	0	0	0.6	1	7.23	12	166	100	0.168994
65	45.54	51	36.61	41	15.18	17	2.68	3	112	50	0.0117206
66	41.85	77	15.22	28	13.04	24	29.89	55	184	100	0.0430211
67	77.96	145	1.08	2	1.08	2	19.89	37	186	100	0.0726191
68	95.65	154	1.24	2	0.62	1	2.48	4	161	100	0.0924736
69	92.7	165	0	0	2.25	4	5.06	9	178	100	0.0972225
70	76.86	93	14.05	17	8.26	10	0.83	1	121	100	0.0387048
71	40	70	12.57	22	16.57	29	30.86	54	175	100	0.0342936
72	92.55	149	0	0	3.11	5	4.35	7	161	100	0.10615
73	45.09	78	6.36	11	9.83	17	38.73	67	173	100	0.0661981
74	37.57	65	10.4	18	10.4	18	41.62	72	173	100	0.0711261
75	96.77	180	0	0	0	0	3.23	6	186	100	0.333624
76	90.64	155	2.92	5	1.75	3	4.68	8	171	100	0.138924
77	29.24	50	32.16	55	8.77	15	29.82	51	171	71	0.00884299
78	27.17	50	15.76	29	16.85	31	40.22	74	184	71	0.0027997
79	80.57	141	1.14	2	4	7	14.29	25	175	100	0.0103263
80	75.88	129	5.29	9	0	0	18.82	32	170	100	0.0194423
81	89.78	167	5.91	11	3.23	6	1.08	2	186	100	0.0978103
82	98.8	165	0	0	0	0	1.2	2	167	100	0.0664097
83	92.12	152	2.42	4	5.45	9	0	0	165	100	0.00649499
84	38.71	72	9.68	18	10.75	20	40.86	76	186	100	0.0877868
85	56.18	100	8.99	16	16.85	30	17.98	32	178	100	0.151798
86	90.27	167	0	0	0	0	9.73	18	185	100	0.440074
87	44.37	63	33.8	48	11.97	17	9.86	14	142	100	0.0606142
88	66.67	78	10.26	12	5.98	7	17.09	20	117	100	0.0920445
89	19.75	16	32.1	26	35.8	29	12.35	10	81	90	0.0288962
90	99.44	176	0	0	0	0	0.56	1	177	100	0.235637
91	96.53	167	0	0	0	0	3.47	6	173	100	0.254119
92	71.6	121	2.96	5	3.55	6	21.89	37	169	100	0.0747561
93	97.22	140	0.69	1	1.39	2	0.69	1	144	100	0.112665

