"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"129934","occ","","","10721","Lepidocaris rhyniensis","species","473312","","Lepidocaris rhyniensis","species","473312","Pragian","","410.8","407.6","3991"
"719339","occ","","","77192","Anostraca indet.","order","133208","","Anostraca","order","133208","Late Aptian","","122.46","112.03","26127"
"719388","occ","","","77198","Anostraca indet.","order","133208","","Anostraca","order","133208","Gzhelian","","303.7","298.9","26135"
"930199","occ","","","106431","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","35523"
"1008687","occ","","","123022","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008703","occ","","","123023","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008713","occ","","","123025","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008720","occ","","","123026","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008724","occ","","","123027","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008728","occ","","","123028","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008731","occ","","","123029","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008735","occ","","","123030","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008741","occ","","","123031","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008745","occ","","","123032","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008750","occ","","","123033","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008755","occ","","","123034","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008762","occ","","","123035","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008767","occ","","","123036","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008772","occ","","","123037","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008775","occ","","","123038","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008777","occ","","","123039","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008781","occ","","","123040","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008785","occ","","","123041","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008788","occ","","","123042","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1008797","occ","","","123043","Anostraca indet.","order","133208","","Anostraca","order","133208","Hemingfordian","","20.43","15.97","39284"
"1495983","occ","","","131916","Anostraca indet.","order","133208","","Anostraca","order","133208","Late Famennian","","364.7","360.7","71792"
