"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"51901","occ","","","3861","Quasicaris bohemica","species","19091","species not entered","Quasicaris","genus","19091","Letna","Harnagian","460.9","455.8","227"
"92344","occ","","","6850","Branchiopoda indet.","class","22113","","Branchiopoda","class","22113","Waucoban","","530","513","424"
"210483","occ","","","23258","Estheria sp.","genus","133416","","Estheria","genus","133416","Early Devonian","Middle Devonian","419.2","382.7","6577"
"210490","occ","","","23260","Estheria sp.","genus","133416","","Estheria","genus","133416","Early Devonian","Middle Devonian","419.2","382.7","6577"
"252645","occ","","","24624","Estheria sp.","genus","133416","","Estheria","genus","133416","Artinskian","Kungurian","290.1","272.3","4102"
"252664","occ","","","24622","Estheria sp.","genus","133416","","Estheria","genus","133416","Permian","","298.9","252.17","4102"
"277114","occ","","","11923","Estheria sp.","genus","133416","","Estheria","genus","133416","Pliensbachian","Early Toarcian","190.8","182","7280"
"279037","occ","","","26668","Phyllopoda indet.","subclass","133204","","Phyllopoda","subclass","133204","Lochkovian","","419.2","410.8","7247"
"279041","occ","","","26669","Phyllopoda indet.","subclass","133204","","Phyllopoda","subclass","133204","Lochkovian","","419.2","410.8","7247"
"279046","occ","","","26670","Phyllopoda indet.","subclass","133204","","Phyllopoda","subclass","133204","Lochkovian","","419.2","410.8","7247"
"405198","occ","","","38883","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Late Kimmeridgian","Tithonian","155.7","145","10502"
"407777","occ","","","39219","Branchiopoda ? indet.","class","22113","","Branchiopoda","class","22113","Norian","","228","208.5","10591"
"485539","occ","","","48615","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Smithian","","251.3","247.2","12967"
"485542","occ","","","48616","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Smithian","Spathian","251.3","247.2","12967"
"497830","occ","","","24190","Diplostraca indet.","infraclass","133222","","Diplostraca","infraclass","133222","Atdabanian","","520","516","13497"
"504420","occ","","","51265","Conchostraca indet.","unranked clade","133417","invalid subgroup of","Diplostraca","infraclass","133222","Asselian","Sakmarian","298.9","290.1","13653"
