# Concordance factor statistics
# This file can be read in MS Excel or in R with command:
#   tab=read.table('concord.cf.stat',header=TRUE)
# Columns are tab-separated with following meaning:
#   ID: Branch ID
#   gCF: Gene concordance factor (=gCF_N/gN %)
#   gCF_N: Number of trees concordant with the branch
#   gDF1: Gene discordance factor for NNI-1 branch (=gDF1_N/gN %)
#   gDF1_N: Number of trees concordant with NNI-1 branch
#   gDF2: Gene discordance factor for NNI-2 branch (=gDF2_N/gN %)
#   gDF2_N: Number of trees concordant with NNI-2 branch
#   gDFP: Gene discordance factor due to polyphyly (=gDFP_N/gN %)
#   gDFP_N: Number of trees decisive but discordant due to polyphyly
#   gN: Number of trees decisive for the branch
#   Label: Existing branch label
#   Length: Branch length
# *NOTE*: (gCF+gDF1+gDF2+gDFP) = 100% and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = gN
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	Label	Length
48	60.8	107	2.84	5	3.98	7	32.39	57	176	100	0.0816654
49	12.97	24	5.41	10	11.89	22	69.73	129	185	85	0.0182161
50	30.77	56	2.75	5	4.4	8	62.09	113	182	100	0.0365692
51	71.04	130	2.19	4	0	0	26.78	49	183	100	0.0774279
52	42.44	73	13.95	24	13.95	24	29.65	51	172	100	0.0203415
53	94.48	154	0	0	1.84	3	3.68	6	163	100	0.0777848
54	87.72	150	7.02	12	4.68	8	0.58	1	171	100	0.0484328
55	97.73	172	1.14	2	0.57	1	0.57	1	176	100	0.0481059
56	37.5	66	8.52	15	30.11	53	23.86	42	176	100	0.0365161
57	8.76	12	20.44	28	7.3	10	63.5	87	137	98	0.038932
58	48.39	90	3.23	6	1.08	2	47.31	88	186	100	0.059433
59	45.7	85	6.99	13	5.91	11	41.4	77	186	100	0.0483302
60	41.94	78	12.37	23	11.29	21	34.41	64	186	100	0.0516745
61	56.99	106	4.84	9	5.38	10	32.8	61	186	100	0.0890635
62	85.33	157	0	0	0	0	14.67	27	184	100	0.189126
63	92.17	153	0	0	0.6	1	7.23	12	166	100	0.168873
64	44.64	50	34.82	39	17.86	20	2.68	3	112	76	0.0118362
65	41.85	77	13.04	24	16.85	31	28.26	52	184	100	0.0443584
66	76.34	142	1.08	2	1.61	3	20.97	39	186	100	0.0730809
67	96.27	155	1.24	2	0.62	1	1.86	3	161	100	0.0940238
68	92.13	164	0	0	2.25	4	5.62	10	178	100	0.0973322
69	76.86	93	14.88	18	7.44	9	0.83	1	121	100	0.0391071
70	42.86	75	11.43	20	15.43	27	30.29	53	175	100	0.0349024
71	92.55	149	0	0	3.11	5	4.35	7	161	100	0.108061
72	55.38	103	5.38	10	6.99	13	32.26	60	186	100	0.123952
73	95.7	178	0	0	0	0	4.3	8	186	100	0.340457
74	90.06	154	2.34	4	1.75	3	5.85	10	171	100	0.139092
75	27.49	47	32.16	55	9.94	17	30.41	52	171	71	0.00891785
76	26.63	49	14.13	26	16.85	31	42.39	78	184	72	0.0028008
77	80	140	1.14	2	4	7	14.86	26	175	100	0.010387
78	75.88	129	4.71	8	0	0	19.41	33	170	100	0.0195765
79	87.63	163	5.91	11	4.84	9	1.61	3	186	100	0.0990498
80	99.4	166	0	0	0	0	0.6	1	167	100	0.0669268
81	93.33	154	1.21	2	5.45	9	0	0	165	100	0.00652173
82	41.4	77	13.44	25	9.68	18	35.48	66	186	100	0.0922168
83	55.62	99	9.55	17	17.42	31	17.42	31	178	100	0.153476
84	89.73	166	0	0	0	0	10.27	19	185	100	0.444996
85	45.77	65	34.51	49	11.27	16	8.45	12	142	100	0.0616183
86	66.67	78	9.4	11	7.69	9	16.24	19	117	100	0.093136
87	19.75	16	32.1	26	37.04	30	11.11	9	81	97	0.0294507
88	99.44	176	0	0	0	0	0.56	1	177	100	0.237404
89	95.38	165	0.58	1	0	0	4.05	7	173	100	0.253818
90	72.19	122	3.55	6	4.14	7	20.12	34	169	100	0.0757667
91	97.22	140	1.39	2	1.39	2	0	0	144	100	0.11366

